"SMILES	Canonical_Smiles"
"CN1C(=O)C(C)(C)OC1=O	CN1C(=O)OC(C)(C)C1=O"
"CCC1(CC(=O)NC(=O)C1)C	CCC1(C)CC(=O)NC(=O)C1"
"N[C@H](C(O)=O)CSCC(O)=O	N[C@@H](CSCC(=O)O)C(=O)O"
"I.CNC(NCc1ccccc1)=NC	CNC(=NC)NCc1ccccc1"
"Nc1c(c2nc(c13)cccc3)cccc2	Nc1c2ccccc2nc3ccccc13"
"NS(c1c(Cl)cc2c(S(=O)(=O)NCN2)c1)(=O)=O	NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl"
"COc1cc(c2cc1)ccc([C@@H](C(O)=O)C)c2	COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O"
"Cc1nc(NS(c2ccc(N)cc2)(=O)=O)ncc1	Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1"
"OS(c1cc(c2cc1)[nH]c(c3ccccc3)n2)(=O)=O	OS(=O)(=O)c1ccc2[nH]c(nc2c1)c3ccccc3"
"ONC(CCCCCCC(Nc1ccccc1)=O)=O	ONC(=O)CCCCCCC(=O)Nc1ccccc1"
"CCCCCCCCCCCCCCCCCC(O)=O	CCCCCCCCCCCCCCCCCC(=O)O"
"CS(O)(=O)=O.Oc1ccc(C2c(c3CCNC2)cc(O)c(O)c3Cl)cc1	Oc1ccc(cc1)C2CNCCc3c(Cl)c(O)c(O)cc23"
"CC(Oc1c(C(Nc2sc([N+]([O-])=O)cn2)=O)cccc1)=O	CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)[N+](=O)[O-]"
"COc1c(OC)cc(c2c1)C(N3CC2)CC(=O)C(CC(C)C)C3	COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC"
"CC(N=C1C(Nc2ccc(Cl)cc2)=CC(C3=C1)=Nc(c4N3c5ccc(Cl)cc5)cccc4)C	CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4NC2=CC1=Nc5ccc(Cl)cc5"
"Cl.O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC4(CCCC4)C1	O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4"
"CC(c1n(C2C[C@H](N(CC[C@@H](c3ccccc3)NC(C4CCC(F)(F)CC4)=O)[C@@H]5C2)CC5)c(C)nn1)C	CC(C)c1nnc(C)n1C2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5"
"OCCOCCOC(c1c(Nc2cc(C(F)(F)F)ccc2)cccc1)=O	OCCOCCOC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F"
"Cl.[Cl-].Cc1[n+](Cc2c(N)nc(C)nc2)csc1CCO	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1"
"C(c1ccc(CN2CCNCCCNCCNCCC2)cc1)N3CCNCCCNCCNCCC3	C(N1CCCNCCNCCCNCC1)c2ccc(CN3CCCNCCNCCCNCC3)cc2"
"COc1c(OC)cc(C[C@H]2[N@+](CCC(OCCCCCOC(CC[N@@+]3([C@H](Cc4cc(OC)c(OC)cc4)c(c5CC3)cc(OC)c(OC)c5)C)=O)=O)(C)CCc(c26)cc(OC)c(OC)c6)cc1.[O-]S(c7ccccc7)(=O)=O.[O-]S(c8ccccc8)(=O)=O	COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC"
"CCc1c(c2nc(c13)C(=C4)N(C(=O)C5=C4[C@](CC)(O)C(=O)OC5)C3)cc(O)cc2	CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(O)cc15)[C@@](O)(CC)C(=O)OC4"
"CN1S(=O)(=O)c(c2C(O)=C1C(Nc3ncccc3)=O)ccs2	CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3"
"O.O.O.Br.CN([C@@H]1C[C@@H](OC([C@@H](c2ccccc2)CO)=O)C3)[C@@H]3[C@@H]([C@@H]14)O4	CN1[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4"
"CC[C@@H]1[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O1	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC"
"[O-][N+](O[C@H]1[C@H]([C@@H]2OC1)OC[C@@H]2O[N+]([O-])=O)=O	[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-]"
"CN(C([C@@H]1C[C@@H](NC(c2sc(c3n2)CN(C)CC3)=O)[C@@H](NC(C(Nc4ncc(Cl)cc4)=O)=O)CC1)=O)C	CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@@H](C1)NC(=O)c3nc4CCN(C)Cc4s3"
"Cl.Cc1ccc(\C(\c2ncccc2)=C/CN3CCCC3)cc1	Cc1ccc(cc1)\C(=C/CN2CCCC2)\c3ccccn3"
"OCc1ccccc1	OCc1ccccc1"
