"SMILES	Canonical_Smiles"
"Cc1c(C)sc(Nc2ccc(C)cc2)n1	Cc1ccc(Nc2nc(C)c(C)s2)cc1"
"CCSc1nc(c2c(NC)n1)cccc2	CCSc1nc(NC)c2ccccc2n1"
"COC(CC(C(=O)n(c1N2)ncn1)=C2C)=O	COC(=O)Cc1c(C)nc2ncnn2c1O"
"CN(Cc1nc(c2c(N)n1)sc(C)c2C)Cc3ccccc3	CN(Cc1ccccc1)Cc2nc(N)c3c(C)c(C)sc3n2"
"NC(C(C(=O)NC(C(F)(F)F)=C1CCO)=C1)=O	NC(=O)c1cc(CCO)c(nc1O)C(F)(F)F"
"CC(c1occc1)Nc2c(c3ncn2)scc3	CC(Nc1ncnc2ccsc12)c3occc3"
"COCCCNc1c(C)nc(c2n1)cccc2	COCCCNc1nc2ccccc2nc1C"
"CN(CC(NC(=O)c(c12)c(c3s1)CCC3)=N2)C	CN(C)Cc1nc(O)c2c3CCCc3sc2n1"
"CNC(CNC(c1c(OC)cc(Br)cc1)=O)C	CNC(C)CNC(=O)c1ccc(Br)cc1OC"
"COc1ccc(c2sc(c3c2)C(=O)NC=N3)cc1	COc1ccc(cc1)c2cc3ncnc(O)c3s2"
"CN(CC(CNc1c(c2ncn1)ccs2)(C)C)C	CN(C)CC(C)(C)CNc1ncnc2sccc12"
"CCN(CCCNc1c(c2ncn1)ccs2)CC	CCN(CC)CCCNc1ncnc2sccc12"
"C(Nc1c(c2ncn1)cccc2)Cn3nccc3	C(Cn1cccn1)Nc2ncnc3ccccc23"
"O=C(N1CCCC1)CNc2nn(c3cc2)nnn3	O=C(CNc1ccc2nnnn2n1)N3CCCC3"
"C(Cn1nccc1)CNc2oc(c3n2)cccc3	C(CNc1oc2ccccc2n1)Cn3cccn3"
"OC(c1c(OCCOc2ccccc2)cccc1)=O	OC(=O)c1ccccc1OCCOc2ccccc2"
"Cl.NC(c1ccccc1)CNS(c2sc(Cl)cc2)(=O)=O	NC(CNS(=O)(=O)c1ccc(Cl)s1)c2ccccc2"
"Cc1c(F)cc(NCc2ccc(C(N)=O)cc2)cc1	Cc1ccc(NCc2ccc(cc2)C(=O)N)cc1F"
"Cc1n(c2c(c3ccc2)ccnc3)nnc1C(O)=O	Cc1c(nnn1c2cccc3cnccc23)C(=O)O"
"O=C(c1c[nH]nc1)NCCc2c(c3[nH]c2)cccc3	O=C(NCCc1c[nH]c2ccccc12)c3cn[nH]c3"
"Cc1c(NCCNS(C)(=O)=O)nc(c2n1)cccc2	Cc1nc2ccccc2nc1NCCNS(=O)(=O)C"
"OC(C(c1ccccc1)CNC(c2sccc2)=O)=O	OC(=O)C(CNC(=O)c1cccs1)c2ccccc2"
"Clc1c(NS(c2ccc(C#N)cc2)(=O)=O)nccc1	Clc1cccnc1NS(=O)(=O)c2ccc(cc2)C#N"
"CCn1c(CNc2c(c3ncn2)cccc3)nnc1	CCn1cnnc1CNc2ncnc3ccccc23"
"Cc1c(c2nc(NC3CS(=O)(=O)CC3)c1)cccc2	Cc1cc(NC2CCS(=O)(=O)C2)nc3ccccc13"
"Clc1cc(c2cc1)N=C(CN3CCOCC3)NC2=O	Oc1nc(CN2CCOCC2)nc3cc(Cl)ccc13"
