"SMILES	Canonical_Smiles"
"CC(C)C(O)C(=O)O[C@H]1C\C=C(C)\C[C@@H](OC(=O)C(\CO)=C\CO)[C@@H]2[C@H](OC(=O)C2=C)\C=C1\C	CC(C)C(O)C(=O)O[C@H]1C\C=C(/C)\C[C@@H](OC(=O)\C(=C\CO)\CO)[C@@H]2[C@H](OC(=O)C2=C)\C=C/1\C"
"O[C@@H]1C[C@@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@H]1O)C(O)=O	O[C@@H]1C[C@@](O)(C[C@@H](OC(=O)C=Cc2ccc(O)c(O)c2)[C@H]1O)C(=O)O"
"O=c1ccc2nccc3c4ccccc4n1c23	O=C1C=Cc2nccc3c4ccccc4n1c23"
"CC(C)C(=O)O[C@@H]1C[C@@]2(C)O[C@](O)(C[C@@H]2O)[C@@H](C)C[C@H]2OC(=O)C(=C)[C@H]12	CC(C)C(=O)O[C@@H]1C[C@@]2(C)O[C@](O)(C[C@@H]2O)[C@@H](C)C[C@H]3OC(=O)C(=C)[C@H]13"
"COc1cc(ccc1O)C(O)C(O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	COc1cc(ccc1O)C(O)C(O)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O"
"C\C(CC[C@H]1C(=C)CCC2[C@@](C)(CCC[C@]12C)C=O)=C/CO	C\C(=C/CO)\CC[C@H]1C(=C)CCC2[C@@](C)(CCC[C@]12C)C=O"
"[H][C@]12C[C@]3(CC1(O)CO)CC[C@]1([H])[C@@](C)(CCC[C@@]1(C)C3=CC2)C(O)=O	C[C@]1(CCC[C@]2(C)[C@@H]1CC[C@@]34C[C@H](CC=C23)C(O)(CO)C4)C(=O)O"
"[H][C@@]12C[C@@]3(CC[C@]4([H])[C@@](C)(CCC[C@@]4(C)[C@]3(O)CC1)C(O)=O)[C@@H](OC(=O)C(\C)=C/C)C2=C	C\C=C(\C)/C(=O)O[C@H]1C(=C)[C@H]2CC[C@@]3(O)[C@]4(C)CCC[C@](C)([C@H]4CC[C@]13C2)C(=O)O"
"COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1OC	COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1OC"
"O[C@H]1[C@@H](O)[C@H](OC(=O)Cc2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1OC(=O)Cc1ccc(O)cc1	O[C@@H]1[C@H](O)[C@@H](OC(=O)Cc2ccc(O)cc2)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)Cc3ccc(O)cc3"
"C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC[C@]46OC[C@@]7(CCC(C)(C)CC47)[C@H](O)C[C@@]56C)C3(C)C)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C(O)=O)[C@H](O)[C@H](O)[C@H]1O	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2O[C@H]3[C@H](O)[C@H](O[C@@H](O[C@H]4CC[C@@]5(C)C(CC[C@]6(C)C5CC[C@]78OC[C@@]9(CCC(C)(C)CC79)[C@H](O)C[C@@]68C)C4(C)C)[C@@H]3O[C@@H]%10O[C@H](CO)[C@@H](O[C@@H]%11OC[C@@H](O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)C(=O)O)[C@H](O)[C@H](O)[C@H]1O"
"OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@@H]1O"
"COc1cc(O)c2c(c1)oc(cc2=O)C1(O)C=CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1	COc1cc(O)c2C(=O)C=C(Oc2c1)C3(O)C=CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C3"
"[H][C@@]12CC=C3C[C@@H](C[C@@H](O)[C@]3(C)C1CC[C@@]1(C)C2C[C@@H]2O[C@]3(CCC(=C)CO3)[C@@H](C)[C@H]12)O[C@H]1OC[C@@H](O)C(O)[C@@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O	C[C@@H]1O[C@@H](O[C@H]2C(O)[C@H](O)CO[C@@H]2O[C@@H]3C[C@@H](O)[C@]4(C)C5CC[C@@]6(C)C(C[C@@H]7O[C@]8(CCC(=C)CO8)[C@@H](C)[C@H]67)[C@@H]5CC=C4C3)[C@H](O)[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H]1O"
